question,answer
일본 문화에 관한 책 뭐가 좋을까?,The Japanese Mind: Understanding Contemporary Japanese Culture
화학 원리에 관한 책 뭐가 좋아?,Chemistry: The Central Science
IT 보안에 대한 책 추천해줘,Hacking: The Art of Exploitation
예술사에 대한 책 뭐가 좋을까?,예술의 이해
중세 유럽 역사에 대한 책 뭐가 좋아?,The Time Traveler's Guide to Medieval England
현대 교육 시각,"""Creative Schools: The Grassroots Revolution That's Transforming Education"""
러시아 역사에 관한 책 뭐가 좋아?,A History of Russia
현대 수학에 관한 책 뭐가 좋아?,수학의 미래
법학에 관한 책 뭐가 좋아?,법과 사회
한국 전통 민속민속예절에 관한 책 추천해줄래?,한국 민속 대사전
고대 오세아니아 역사에 관한 책 뭐가 좋을까?,On the Road of the Winds: An Archaeological History of the Pacific Islands Before European Contact
고대 남유럽 역사에 관한 책 뭐가 좋아?,The History of the Ancient World
현대 신경과학에 관한 책 뭐가 좋아?,The Tell-Tale Brain
고대 폴리네시아 문명에 대한 책 추천해줘,Hawaiki: Ancestral Polynesia
사회학 이론에 관한 책 추천해줄래?,Sociological Theory
고대 아즈텍 문명에 관한 책 뭐가 좋을까?,The Broken Spears: The Aztec Account of the Conquest of Mexico
현대 무용에 관한 책 뭐가 좋을까?,The Art of Movement
의학에 관한 책 추천해줄래?,인체의 비밀
현대 웹 디자인에 대한 책 추천해줄래?,Responsive Web Design with HTML5 and CSS3
현대 전자기기 디자인에 대한 책 뭐가 좋아?,The Design of Everyday Things
중국 철학에 관한 책 추천해줄래?,도덕경
인도 철학에 관한 책 추천해줄래?,The Upanishads
북유럽 신화에 관한 책 추천해줄래?,북유럽 신화
고대 북아메리카 역사에 관한 책 뭐가 좋을까?,1491: New Revelations of the Americas Before Columbus
생화학에 대한 책 뭐가 좋아?,Biochemistry: A Short Course
한국 전통 민속민속무용에 대한 책 뭐가 좋아?,한국 전통춤의 전승과 현장
생태학에 대한 책 추천해줘,Ecology: Concepts and Applications
고대 중국 역사에 관한 책 추천해줘,The Early Chinese Empires: Qin and Han
중국 철학에 대한 책 추천해줘,도덕경
교육학 입문서 뭐가 좋아?,교육의 본질
북극 탐험에 관한 책 추천해줄래?,The Worst Journey in the World
동남아시아 문화에 관한 책 추천해줄래?,Southeast Asia: An Introductory History
로마 제국에 관한 책 뭐가 좋을까?,SPQR: A History of Ancient Rome
고대 미술에 관한 책 뭐가 좋을까?,The Art of Ancient Egypt
고대 북유럽 문명에 관한 책 추천해줘,The Viking Age: A Reader
고대 남아메리카 역사에 관한 책 추천해줘,1491: New Revelations of the Americas Before Columbus
세계사 개론서 뭐가 좋을까?,세계사 편력
한국 산업에 관한 책 추천해줘,The Korean Economy: From Growth to Maturity
한국 전통 민속철학에 관한 책 추천해줄래?,한국민속의 세계
고대 스칸디나비아 문명에 대한 책 추천해줘,The Viking Age: A Reader
한국 전통 민속설화에 대한 책 뭐가 좋아?,삼국유사
고대 문학에 관한 책 뭐가 좋을까?,고대문학 이야기
현대 디자인에 대한 책 추천해줄래?,디자인의 역사
한국 전통 공예에 대한 책 뭐가 좋아?,한국의 전통 민속공예
고대 아메리카 문화에 관한 책 추천해줄래?,1491: New Revelations of the Americas Before Columbus
사회 구조에 관한 책 추천해줄래?,사회의 구조와 변동
현대 윤리에 관한 책 뭐가 좋아?,"""윤리의 본질"""
인간 관계에 대한 책 뭐가 좋을까?,인간관계론
프랑스 문학에 대한 책 추천해줘,프랑스 문학 산책
고대 인도 문명에 관한 책 뭐가 좋을까?,The Wonder That Was India
현대 해양학에 관한 책 뭐가 좋을까?,Essentials of Oceanography
현대 예술에 관한 책 추천해줄래?,현대 예술: 이해의 키워드
한국 전통 놀이에 대한 책 뭐가 좋아?,안동문화로 보는 한국학
고대 중앙아시아 역사에 관한 책 뭐가 좋을까?,The Lost Heart of Asia
물리 화학에 관한 책 뭐가 좋아?,이공학도를 위한 물리화학
현대 정치에 관한 책 추천해줄래?,정치의 과학
사회 변화에 대한 책 뭐가 좋아?,Sociology: Social Structure and Change
빅데이터 분석에 대한 책 뭐가 좋을까?,빅 데이터: 데이터가 만드는 미래
고대 마그레브 문명에 대한 책 추천해줄래?,The Berbers: The Peoples of Africa
철학적 사조에 관한 책 뭐가 좋아?,철학의 문제들
독일 문학에 대한 책 뭐가 좋아?,독일 문학사
고대 그리스 역사에 대한 책 뭐가 좋아?,The History of the Ancient World
현대 환경과학에 관한 책 뭐가 좋아?,Silent Spring
한국 전통 민속주에 대한 책 뭐가 좋아?,한국 전통 민속주
중세 역사에 관한 책 추천해줄래?,The Time Traveller's Guide to Medieval England
고전 문학에 관한 책 추천해줄래?,The Western Canon
환경 기술에 대한 책 뭐가 좋을까?,Sustainable Energy - Without the Hot Air
고대 서아시아 역사에 관한 책 추천해줘,The Epic of Gilgamesh
현대 사회학 이론에 관한 책 뭐가 좋아?,현대사회학 이론
연극 예술에 관한 책 뭐가 좋을까?,한국연극과 드라마투르기
한국 전통 민속민속사상에 관한 책 추천해줄래?,한국의 민속사상
유럽 경제사에 대한 책 뭐가 좋을까?,The Birth of the West
영국 역사에 관한 책 추천해줄래?,The Shortest History of England
해양 생물학에 관한 책 뭐가 좋아?,The Soul of an Octopus
한류에 관한 책 추천해줘,The Korean Wave: Korean Media Go Global
천문학 입문서 뭐가 좋을까?,코스모스
고대 메소포타미아에 관한 책 뭐가 좋을까?,The Epic of Gilgamesh
세계 예술사에 대한 책 뭐가 좋아?,The Story of Art
현대 제품 디자인에 대한 책 추천해줄래?,내일의 디자인
유럽 역사에 대한 책 뭐가 좋아?,Europe: A History
사진 역사에 관한 책 뭐가 좋을까?,The History of Photography: From 1839 to the Present
양자 물리에 대한 책 뭐가 좋을까?,Quantum Physics for Beginners
디지털 미디어에 관한 책 뭐가 좋아?,디지털 마케팅 전략 가이드
기후 변화 정책에 관한 책 뭐가 좋아?,This Changes Everything: Capitalism vs. The Climate
한국 교육에 대한 책 뭐가 좋아?,시대로 보는 한국교육사
현대 소프트웨어 디자인에 대한 책 뭐가 좋을까?,Clean Architecture: A Craftsman's Guide to Software Structure and Design
기계공학에 관한 책 뭐가 좋아?,Engineering Mechanics: Dynamics
미국 문학에 대한 책 뭐가 좋아?,American Literature: A Very Short Introduction
문학 이론에 대한 책 뭐가 좋아?,Literary Theory: An Introduction
중세 철학에 대한 책 뭐가 좋아?,The Dream of Reason
고대 경제에 대한 책 추천해줘,The Ancient Economy
사회 문제에 대한 책 추천해줘,Evicted: Poverty and Profit in the American City
환경 정책에 대한 책 뭐가 좋을까?,지구를 지켜라
현대 경제에 관한 책 뭐가 좋아?,장하준의 경제학 강의
정치 이론에 관한 책 뭐가 좋아?,진보와 보수의 12가지 이념
경영 혁신에 대한 책 추천해줘,혁신의 DNA
한국 전통 사상에 관한 책 추천해줘,한국의 사상
로봇 윤리에 대한 책 뭐가 좋을까?,로봇 윤리
도시 사회학에 관한 책 뭐가 좋을까?,도시의 사회학
기후 변화에 대한 책 추천해줘,The Uninhabitable Earth: Life After Warming
사회 혁신에 대한 책 뭐가 좋아?,사회적 기업가 정신
생명 윤리에 대한 책 추천해줘,The Immortal Life of Henrietta Lacks
생태학에 관한 책 추천해줄래?,The Sixth Extinction: An Unnatural History
아프리카 역사에 관한 책 뭐가 좋아?,Africa: A Biography of the Continent
고대 유럽 문명에 관한 책 추천해줘,The Birth of the West
고전 철학에 관한 책 뭐가 좋을까?,국가
세계 정치사에 관한 책 뭐가 좋아?,세계정치의 이해
환경 과학에 대한 책 추천해줘,The Sixth Extinction: An Unnatural History
고대 서아프리카 문명에 관한 책 뭐가 좋을까?,West Africa before the Colonial Era: A History to 1850
아시아 문화에 관한 책 뭐가 좋을까?,The Art of Not Being Governed
한국 전통 의례에 대한 책 뭐가 좋아?,한국의 의례
사진 이론에 관한 책 뭐가 좋을까?,Camera Lucida: Reflections on Photography
현대 문학사에 대한 책 뭐가 좋아?,현대문학사
현대 문학에 관한,현대문학 이론
고대 이집트 문명에 관한 책 뭐가 좋아?,The Rise and Fall of Ancient Egypt
동양 철학에 대한 책 뭐가 좋아?,The Tao of Pooh
철학적 윤리에 대한 책 추천해줘,The Nicomachean Ethics
환경 과학에 대한 책 뭐가 좋아?,The Sixth Extinction: An Unnatural History
디지털 경제에 관한 책 추천해줄래?,The Second Machine Age
프랑스 문학에 관한 책 추천해줄래?,프랑스 문학 산책
스페인 역사에 관한 책 추천해줄래?,The Battle for Spain: The Spanish Civil War 1936-1939
음악 창작에 관한 책 뭐가 좋을까?,Tunesmith: Inside the Art of Songwriting
양자 컴퓨팅에 대한 책 뭐가 좋을까?,Quantum Computing for Computer Scientists
미국 역사에 대한 책 뭐가 좋아?,A People's History of the United States
고대 수메르 문명에 관한 책 뭐가 좋을까?,"The Sumerians: Their History, Culture, and Character"
현대 드론 디자인에 대한 책 뭐가 좋아?,Building Your Own Drones: A Beginners' Guide to UAVs and ROVs
기후 변화에 관한 책 뭐가 좋아?,2050 거주불능 지구
현대 사회학에 관한 책 뭐가 좋아?,사회학: 이해와 적용
미국 역사에 대한 책 추천해줘,A People's History of the United States
현대 의학에 관한 책 뭐가 좋을까?,The Emperor of All Maladies: A Biography of Cancer
한국 전통 민속놀이에 대한 책 뭐가 좋을까?,한국민속종합조사보고서 30 (불교민속놀이편)
환경 과학 이론에 대한 책 추천해줘,Silent Spring
정신분석학에 대한 책 추천해줄래?,꿈의 해석
고대 슬라브 문명에 대한 책 추천해줘,The World of the Ancient Slavs
고대 정치에 대한 책 추천해줄래?,정치의 원형을 찾아서 : 고대 그리스 정치
고대 문명에 관한 책 추천해줘,The History of the Ancient World
한국 전통 민속관습에 관한 책 추천해줄래?,한국의 민속과 전통
고대 북아메리카 문명에 관한 책 뭐가 좋을까?,1491: New Revelations of the Americas Before Columbus
현대 데이터 시각화에 대한 책 뭐가 좋을까?,Storytelling with Data
고대 메소아메리카 문명에 대한 책 추천해줄래?,The Maya: Ancient Peoples and Places
고대 켈트 문명에 관한 책 뭐가 좋을까?,The Celtic World
현대 음악에 대한 책 뭐가 좋을까?,작곡가 이건용의 현대음악강의
중세 철학에 관한 책 뭐가 좋을까?,처음 읽는 중세철학
기후 변화에 대한 책 뭐가 좋아?,2050 거주불능 지구
현대 기계공학에 관한 책 뭐가 좋아?,Mechanical Engineering for the Curious
동양 예술에 관한 책 추천해줄래?,The Art of East Asia
동남아시아 역사에 관한 책 추천해줘,A History of Southeast Asia: Critical Crossroads
고대 예술에 대한 책 추천해줄래?,The Art of Ancient Egypt
고대 역사에 관한 책 뭐가 좋을까?,서양 고대사
고전 철학에 대한 책 뭐가 좋을까?,국가
현대 로봇 디자인에 대한 책 뭐가 좋을까?,"Robotics: Modelling, Planning and Control"
고대 카르타고 역사에 대한 책 추천해줘,Carthage Must Be Destroyed: The Rise and Fall of an Ancient Civilization
고대 아메리카 문명에 관한 책 뭐가 좋을까?,1491: New Revelations of the Americas Before Columbus
문화 인류학 입문서 뭐가 좋을까?,Cultural Anthropology: A Toolkit for a Global Age
한국 전통 문화에 관한 책 뭐가 좋아?,한국의 전통문화
이탈리아 문학에 관한 책 추천해줄래?,The Divine Comedy
언어학 입문서 뭐가 좋을까?,언어학 산책
종교 역사에 관한 책 뭐가 좋을까?,A History of God
음악 이론에 대한 책 뭐가 좋아?,Tonal Harmony
문화 인류학에 대한 책 추천해줘,Cultural Anthropology: A Perspective on the Human Condition
현대 심리학에 대한 책 뭐가 좋을까?,심리학 콘서트
한국 지리에 대한 책 뭐가 좋을까?,한국지리 이야기
고대 폴리네시아에 관한 책 뭐가 좋을까?,Hawaiki: Ancestral Polynesia
국제 정치에 대한 책 뭐가 좋을까?,International Relations
인도 철학에 관한 책 추천해줘,The Upanishads
한국 전통 가옥에 관한 책 추천해줄래?,한국의 전통가옥
지구 과학 이론에 관한 책 뭐가 좋아?,"The Story of Earth: The First 4.5 Billion Years, from Stardust to Living Planet"
음악 창작에 대한 책 뭐가 좋아?,Tunesmith: Inside the Art of Songwriting
기후 변화에 관한 책 추천해줄래?,The Uninhabitable Earth: Life After Warming
경제학에 대한 책 뭐가 좋아?,벌거벗은 경제학
한국 전통 민속신앙에 대한 책 뭐가 좋아?,한국의 민속신앙
중국 철학에 관한 책 뭐가 좋을까?,도덕경
한국 문화에 대한 책 뭐가 좋아?,"The Koreans: Who They Are, What They Want, Where Their Future Lies"
과학 철학에 대한 책 추천해줘,The Structure of Scientific Revolutions
고대 문학에 대한 책 추천해줄래?,The Epic of Gilgamesh
한국 역사에 대한 책 뭐가 좋을까?,"A History of Korea: From ""Land of the Morning Calm"" to States in Conflict"
한국 전통 철학에 대한 책 뭐가 좋아?,한국철학사상사
인공지능 알고리즘에 대한 책 뭐가 좋을까?,Artificial Intelligence: A Modern Approach
고대 메소포타미아 문화에 관한 책 뭐가 좋을까?,The Ancient Near East: A History
음악 이론에 대한 책 추천해줘,Tonal Harmony
한국 전통 민속주택에 관한 책 추천해줘,한국전통건축의 주거공간과 전통한옥
한국 전통 구비문학에 관한 책 추천해줘,전통 구비문학과 근대 공연예술 1
과학 혁명에 관한 책 추천해줘,The Structure of Scientific Revolutions
비즈니스 전략에 대한 책 추천해줘,Good to Great
고대 중아메리카 문명에 관한 책 뭐가 좋아?,1491: New Revelations of the Americas Before Columbus
스페인 문학에 관한 책 뭐가 좋을까?,Don Quixote
남아시아 문화에 관한 책 추천해줄래?,The Argumentative Indian
미디어 문화에 대한 책 추천해줘,Understanding Media: The Extensions of Man
동아프리카 역사에 관한 책 추천해줄래?,A History of East Africa
문학 창작에 대한 책 뭐가 좋아?,유혹하는 글쓰기
고대 그리스 철학에 대한 책 추천해줘,The History of Western Philosophy
문화 인류학에 관한 책 뭐가 좋을까?,"Guns, Germs, and Steel"
스포츠 과학에 대한 책 뭐가 좋아?,The Sports Gene
현대 사회에 관한 책 뭐가 좋을까?,사회 동물
고대 아프리카 역사에 대한 책 뭐가 좋아?,Africa's Discovery of Europe
현대 미술에 대한 책 뭐가 좋을까?,현대미술의 이해
금융 관리에 대한 책 추천해줘,Financial Management: Theory & Practice
세계 문학사에 대한 책 뭐가 좋아?,세계문학사
연극 이론에 대한 책 추천해줘,The Empty Space
현대 예술 시각화에 대한 책 뭐가 좋을까?,현대 예술의 이해
도시 계획에 관한 책 추천해줄래?,미국 대도시의 죽음과 삶
한국 전통 민속윤리에 대한 책 뭐가 좋아?,한국철학사상사
사회심리학 입문서 뭐가 좋을까?,사회심리학
한국 전통 동화에 대한 책 뭐가 좋아?,김용택 선생님이 들려주는 동화 세트
예술사에 관한 책 뭐가 좋아?,The Story of Art
고전 문학에 관한 책 뭐가 좋을까?,고전을 이해하기
대기 과학에 관한 책 뭐가 좋아?,Atmospheric Science: An Introductory Survey
한국 전통 윤리에 대한 책 뭐가 좋을까?,한국의 전통윤리
러시아 문학에 대한 책 뭐가 좋을까?,War and Peace
한국 전통 전설에 관한 책 추천해줄래?,Korean Folk & Fairy Tales
심리 치료에 대한 책 추천해줘,현대 심리치료와 상담 이론
한국 역사에 관한 책 추천해줘,한국의 역사
한국 철학에 관한 책 추천해줘,한국철학입문
현대 문화에 관한 책 뭐가 좋을까?,현대문화론
심리학 이론에 대한 책 추천해줘,Psychology: A Very Short Introduction
현대 음악에 관한 책 추천해줄래?,작곡가 이건용의 현대음악강의
연극사에 대한 책 뭐가 좋아?,연극의 역사
국제 정치에 관한 책 추천해줄래?,세상을 바꾼 10가지 물건
인권에 관한 책 추천해줄래?,인권의 역사
물리학 실험에 관한 책 뭐가 좋아?,Exploring the World of Physics
현대 사진 예술에 대한 책 뭐가 좋아?,"""The Art of Photography: A Personal Approach to Artistic Expression"""
한국 전통 소설에 대한 책 뭐가 좋아?,한국 고전문학의 이해
현대 웨어러블 디자인에 대한 책 뭐가 좋아?,Wearable Technology Design
인간 심리에 관한 책 추천해줄래?,인간을 이해하는 심리학
심리학 연구에 대한 책 추천해줘,"Thinking, Fast and Slow"
고대 노르드 신화에 관한 책 뭐가 좋을까?,노르스 신화
현대 건축 이론에 관한 책 뭐가 좋아?,Complexity and Contradiction in Architecture
고대 남유럽 문명에 관한 책 뭐가 좋아?,The History of the Ancient World
현대 생명공학에 관한 책 뭐가 좋을까?,생명공학: 원리와 응용
고대 마야 문명에 관한 책 뭐가 좋을까?,The Maya: Ancient Peoples & Places
세계 철학에 대한 책 뭐가 좋아?,세계 철학사
미디어 이론에 대한 책 추천해줘,Understanding Media: The Extensions of Man
한국 전통 민속문학에 관한 책 추천해줘,한국의 민속문학
고대 동남아시아 문명에 대한 책 추천해줄래?,Southeast Asia: From Prehistory to History
우주 탐사에 관한 책 뭐가 좋아?,A Brief History of Time
고대 인도에 관한 책 뭐가 좋을까?,India: A History
인공지능 윤리에 대한 책 뭐가 좋을까?,인공 지능의 윤리
딥러닝 기술에 대한 책 뭐가,Deep Learning
한국 종교에 대한 책 뭐가 좋을까?,한국의 종교
현대 건축에 관한 책 뭐가 좋아?,The Architecture of Happiness
건축 역사에 대한 책 추천해줘,The Story of Architecture
문학 이론에 관한 책 뭐가 좋아?,Literary Theory: An Introduction
현대 예술사에 관한 책 뭐가 좋아?,현대 예술의 이해
영국 문학에 관한 책 추천해줘,The Oxford Companion to English Literature
고대 인도 역사에 대한 책 추천해줘,India: A History
고대 서아프리카 역사에 관한 책 뭐가 좋을까?,West Africa before the Colonial Era: A History to 1850
현대 기술에 관한 책 추천해줄래?,The Second Machine Age
생물학 입문서 뭐가 좋을까?,생명의 이해
윤리학에 대한 책 뭐가 좋아?,윤리의 문제
환경 과학 정책에 대한 책 뭐가 좋을까?,The Sixth Extinction: An Unnatural History
세계 경제사에 관한 책 추천해줄래?,부와 빈곤의 역사
수학 이론에 관한 책 뭐가 좋아?,수학이란 무엇인가
고전 건축에 관한 책 뭐가 좋을까?,Classical Architecture: The Poetics of Order
한국 정치사에 관한 책 뭐가 좋아?,한국 정치의 결정적 순간들
환경 과학에 대한 책 뭐가 좋을까?,The Sixth Extinction: An Unnatural History
한국 전통 민속가치관에 대한 책 뭐가 좋을까?,한국의 민속사상
한국 전통 민속민속주에 관한 책 추천해줄래?,한국 전통 민속주
고대 인도 문명에 관한 책 뭐가 좋아?,India: A History
경제 발전에 대한 책 추천해줘,사다리 걷어차기
고대 그리스에 관한 책 뭐가 좋을까?,The Peloponnesian War
한국 문화사에 관한 책 뭐가 좋아?,The Birth of Korean Cool
정치 철학에 대한 책 뭐가 좋을까?,정의란 무엇인가
고대 마야 문명에 대한 책 추천해줄래?,The Maya: Ancient Peoples & Places
고대 이집트 문명에 대한 책 추천해줘,The Rise and Fall of Ancient Egypt
현대 가구 디자인에 대한 책 뭐가 좋을까?,"Furniture Design: An Introduction to Development, Materials and Manufacturing"
고대 로마 역사에 대한 책 뭐가 좋을까?,SPQR: A History of Ancient Rome
동유럽 역사에 관한 책 추천해줄래?,"The Reconstruction of Nations: Poland, Ukraine, Lithuania, Belarus, 1569–1999"
고대 남아프리카 문명에 관한 책 추천해줘,The Lost Kingdoms of Africa
현대 문학에 대한 책 뭐가 좋아?,현대문학 이야기
중국 고전 문학에 관한 책 추천해줘,The Journey to the West
고대 아메리카 역사에 관한 책 추천해줄래?,1491: New Revelations of the Americas Before Columbus
지질학에 관한 책 뭐가 좋아?,The Earth: An Intimate History
스포츠 역사에 대한 책 추천해줘,The Boys in the Boat
현대 경제사에 대한 책 뭐가 좋아?,부와 빈곤의 역사
미생물학에 대한 책 뭐가 좋을까?,Brock Biology of Microorganisms
우주론에 대한 책 추천해줘,블랙홀과 우주론
한국 드라마에 대한 책 뭐가 좋아?,The Birth of Korean Cool
신경 네트워크에 대한 책 뭐가 좋을까?,핸즈온 머신러닝
한국 환경에 대한 책 뭐가 좋아?,한국의 환경문제
비즈니스 전략에 관한 책 뭐가 좋을까?,Good to Great
한국 전통 음악에 관한 책 추천해줘,한국 전통음악의 선율 구조
심리 실험에 대한 책 뭐가 좋을까?,생각에 관한 생각
문학사에 대한 책 뭐가 좋아?,세계문학사
현대 인터랙션 디자인에 대한 책 뭐가 좋을까?,About Face: The Essentials of Interaction Design
프랑스 역사에 대한 책 좋은 거 있어?,A History of France
화학 실험 이론에 관한 책 뭐가 좋아?,The Golden Book of Chemistry Experiments
현대 기술에 관한 책 뭐가 좋을까?,The Second Machine Age
고대 중남미 역사에 대한 책 뭐가 좋아?,1491: New Revelations of the Americas Before Columbus
현대 시스템 디자인에 대한 책 추천해줄래?,Systems Design Interview: An Insider's Guide
고대 서유럽 역사에 관한 책 뭐가 좋을까?,The Birth of the West
고대 그리스 철학에 대한 책 뭐가 좋을까?,The History of Western Philosophy
고대 발칸 문명에 대한 책 추천해줄래?,The Balkans: A Short History
지리학 입문서 뭐가 좋을까?,지리의 힘
물리학 입문서 뭐가 좋아?,시간의 역사
고대 동아시아 문화에 관한 책 뭐가 좋을까?,The Culture of War in China: Empire and the Military under the Qing Dynasty
현대 생물학에 관한 책 뭐가 좋을까?,The Gene: An Intimate History
고대 아시아 문명에 관한 책 뭐가 좋을까?,
물리학 원리에 관한 책 뭐가 좋아?,시간의 역사
고대 그리스 철학에 관한 책 추천해줘,The History of Western Philosophy
고대 문명에 대한 책 뭐가 좋아?,"""총, 균, 쇠"""
생태학에 관한 책 뭐가 좋아?,The Sixth Extinction: An Unnatural History
종교 철학에 관한 책 추천해줄래?,The God Delusion
철학 입문서 추천해줘,철학은 어떻게 살 것인가
고전 문학에 대한 책 추천해줘,The Western Canon
사이버 보안에 대한 책 뭐가 좋을까?,Cybersecurity For Dummies
환경 문제 해결에 대한 책 뭐가 좋을까?,2050 거주불능 지구
연극 이론에 관한 책 뭐가 좋을까?,연극의 이해
데이터 과학에 대한 책 뭐가 좋을까?,Data Science for Business
철학적 논리에 대한 책 추천해줘,Tractatus Logico-Philosophicus
한국 전통에 대한 책 뭐가 좋아?,Korea Old and New: A History
고대 중앙아프리카 역사에 관한 책 뭐가 좋아?,African Kingdoms: An Encyclopedia of Empires and Civilizations
컴퓨터 과학에 대한 책 뭐가 좋을까?,컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론
고대 오세아니아 문명에 대한 책 추천해줘,The Pacific: In the Wake of Captain Cook
현대 천문학에 관한 책 뭐가 좋아?,Cosmos
고대 미노아 문명에 대한 책 추천해줘,The Minoan World
한국 음식에 대한 책 뭐가 좋아?,Korean Home Cooking
음악사에 대한 책 추천해줘,The Rest Is Noise: Listening to the Twentieth Century
고전 문헌학에 관한 책 뭐가 좋을까?,Classical Philology: A Handbook
고대 서유럽 문명에 관한 책 뭐가 좋을까?,The Birth of the West
디지털 미디어에 관한 책 추천해줄래?,Digital Media and Society
한국 경제에 대한 책 뭐가 좋을까?,지속 불가능 대한민국
나노 기술에 대한 책 뭐가 좋을까?,Nanotechnology: A Gentle Introduction to the Next Big Idea
현대 건축에 대한 책 뭐가 좋을까?,The Future of Architecture in 100 Buildings
한국 문학에 관한 책 뭐가 좋을까?,The Vegetarian
데이터 과학에 대한 책 뭐가 좋아?,Data Science for Business
고대 아라비아에 관한 책 뭐가 좋을까?,아랍인의 역사
미술사에 대한 책 뭐가 좋아?,The Story of Art
사회 운동에 대한 책 추천해줘,Rules for Radicals
교육학에 대한 책 뭐가 좋아?,교육의 비밀
과학 철학에 관한 책 뭐가 좋아?,The Structure of Scientific Revolutions
스페인 문학에 대한 책 추천해줄래?,Don Quixote
심리학 기초에 대한 책 추천해줄래?,심리학의 기초
중국 역사에 관한 책 추천해줄래?,The Search for Modern China
한국 민주화에 대한 책 뭐가 좋아?,5·18 민주화운동
현대 서비스 디자인에 대한 책 뭐가 좋아?,지금 당장 실천하는 서비스 디자인 씽킹
고대 사회에 대한 책 추천해줄래?,The Dawn of Everything: A New History of Humanity
심리학에 대한 책 뭐가 좋을까?,사람을 이해하는 심리학
고대 인도 문명에 관한 책 추천해줘,The Wonder That Was India
인문학 개론서 추천해줘,인문학을 만나다
