질문(Query),답변(Answer)
사이버 보안 기초 책 뭐가 있어?,"""사이버 보안 입문"""
고대 중국 역사서 추천 부탁해,삼국지
언어학 입문서 추천해줘,"""언어학 입문"""
성격 이론 관련 책 추천해줄래?,"""인간본성"""
프랑스 문학 고전 추천 부탁해,"""모피상의 여인"""
아프리카 역사 다룬 책 뭐 있어?,"""아프리카의 뿌리"""
자연 재해에 관한 책 추천해줄래?,"""The Perfect Storm"""
빅데이터 분석 입문서 추천 부탁해,"""데이터 분석 입문"""
심리 치료에 관한 책 추천해줄래?,"""심리 치료 지침서"""
인공지능 윤리에 대한 책 추천 부탁해,"""인공지능 혁명"""
고전 건축에 관한 책 추천해줘,건축의 이해
창업 관련 책 추천 부탁해,"""리더십의 힘"""
프로그래밍 알고리즘 책 추천해줄래?,알고리즘 문제 해결 전략
도시 계획에 관한 책 뭐가 좋아?,도시 혁명
미학 이론서 추천해줄래?,"""미학 이론서"""
우주 탐사 관련 책 뭐가 있어?,"""천문학자의 아이디어"""
사회 정책에 관한 책 추천 부탁해,"""사회학의 상상력"""
문화인류학 입문서 추천해줘,"""문화인류학"""
종교학 기초서 추천해줄래?,"""종교학 입문"""
문헌 정보학 책 뭐가 있어?,"""정보 검색 엔진 최적화"""
화학 기초서 추천해줄래?,화학 기초서: 화학 개론
고대 로마 문학 추천해줄래?,"""아에네이스"""
윤리학 고전 추천 부탁해,"""니체의 참회록"""
천체 물리학 책 추천해줄래?,별을 바라보는 소녀
초현실주의 미술에 관한 책 추천해줘,"""실존주의자의 미술"""
교육학 입문서 추천해줄래?,'교육학 입문'
한국 현대사 다룬 책 추천해줘,"""한국 현대사"""
바이오테크놀로지 책 뭐가 있어?,"""바이오테크놀로지"""
고전 음악사 책 추천해줄래?,"""바흐와 그의 시대"""
비즈니스 전략 책 추천 부탁해,"""블루 오션 전략"""
